word,definition
a hunch,idea based on a feeling with no proof
put up with,continue to accept an unpleasant situation or experience
glimpse,occasion when you see something/someone for a very short time
head over heels,completely in love
lurk,wait or move in a secret way before robbing o bargain
mongering,"act of encouraging a particular activity, especially one that causes trouble"
draw up,prepare something official in writing
blushes,"become pink in the face, usually from embarrassment"
crop,group of people/things with something in common
perfect fashion,"acting in an idea, or highly skillful manner"
blip,unexpected and unusual condition that is temporary
fluke,strike of luck
shuteye,sleep
child rearing,work of taking care of children until they are old enough to care for themselves
piling up,a lot of something
unobtrusive,not noticeable
boast,have or own something to be proud of
misuse,use something in a way that was not intended for
the onus,responsibility to do something
flop,failure
breeze,something easy to do
grapple,"fight, in order to win something"
recoil,move back beacuse of fear or disgust (dislike or disapproval)
backlash,"strong, negative reactiom to something expecting to change"
ubiquitous,seeming to be everywhere
mitigate,make something less severe or harmful
elicit,get or produce something (especially information or a reaction)
paradigm,"a typical example or pattern of something, a model"
resilient,able to withstand or recover quickly from difficult conditions
churning,"to produce large amounts of something quickly, usually on low quality"
turn around,(of an unsuccessful business) to change so it becomes successful
let down,disappointing someone by failing to do what you were expected to do 
uptick,an improvement in a situation 
enquiries,a place where you can get info
profiteering,taking advantage of a situation in order to make a profit
mushroom,to increase/grow too quickly
first-rate,best quality
cater,to provide food for an event
endeavour,trying hard to execute something
plight,difficult condition someone lives
abridged,being shortened by having some details or info removed
deprived,"not having things necessary for a pleasant life (money, food, conditions)"
hoovering,act of cleaning floor with a vacuum cleaner
bout,a short period of involvement in an activity
reckoned,to think or believe
hit the ground running,immediately work hard and successfully at a new activity
bring something to the table,to provide something that will be beneficial
sift,to make a close examination in order to find something
tamper,"to make changes to something you should not, usually without knowing how it works"
diluting,reduce strength of a feeling or action
hunk,"a tall, strong, attractive man"
brooding,"feeling sad, worried or angry for a long time"
above-the-line,"relating to a company's usual income, which make up its total profit after taxes"
imbue someone with something,to fill someone or something with a particular feeling or idea
tongue-in-cheek,"to be understood as a joke, althoug it might appear to be serious"
chiselled,"(of a man's face or feature) strong an sharp, in an attractive way"
insouciance,a relaxed/happy way of behaving without feeling worried
debonair,"(especially men) attractive, confident and carefully dressed"
anguish,extreme unhappiness caused by physical or mental suffering
foster,encourage the development or growth of ideas or feelings
scrawled,"to write something quickly, without trying to make it east to understand"
painstacking,extremely careful and correct involving a lot of effort
snoop,to look around a place secretly in order to find out information
swathe,a large area especially of land
hassle, difficulty or trouble
gist,general information without details
wear someone down,make someone feel tired and less able to deal successfully with a situation
envision,imagine or expect something to happen/appear in a particular way
fanciful,not likely to succeed or happen in the real world
spin-out,a business company that has developed from another organization
afflict,a person/thing that suffers a illness or a problem
harbinger,a person/thing that shows that something (bad) is going to happen
nascent,only recently started but likely to grow larger quickly
dispiriting,causing you to not have to much hope about a situation/problem
gritty,showing the difficult features of something as they really are